Diagonal Profiles,,,,,
Open field,,,,,
SSD=100cm,,,,,
Field Size=40x40cm2,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
,Dose[%],,,,
Off axis position [cm],Depth:3 cm,Depth:5 cm,Depth:10 cm,Depth:20 cm,Depth:30 cm
-23.4,100.79207920792078,102.88372093023256,101.34738330975955,95.3457008244994,93.31713780918727
-23.3,101.78217821782178,103.46666666666667,101.4,95.5,93.4
-23.2,102.63030303030303,103.87561837455831,101.4,95.5585394581861,93.4
-23.1,103.27878787878788,104.23479490806224,101.4,95.6916548797737,93.48231653404068
-23,103.8711425206125,104.6060820367751,101.4,95.7950505050505,93.58080808080808
-22.9,104.44161616161617,104.85754716981133,101.4,95.89606060606062,93.69540636042403
-22.8,104.84565656565657,105.11731448763251,101.4,96.02995283018868,93.71330977620731
-22.7,105.23727272727272,105.33898989898991,101.49808080808081,96.19564193168434,93.8311320754717
-22.6,105.55373737373738,105.48231132075472,101.5,96.35626262626263,93.9420202020202
-22.5,105.9336866902238,105.60011792452829,101.5,96.51454545454546,94
-22.4,106.18316831683168,105.71802120141344,101.5,96.65101679929266,94.0440404040404
-22.3,106.38302687411598,105.8,101.53070707070707,96.79010101010101,94.13939929328622
-22.2,106.5045197740113,105.8,101.6,96.96449787835927,94.23171717171718
-22.1,106.6,105.8,101.6,97.10424242424241,94.33272727272727
-22,106.68727015558699,105.8,101.6,97.20459363957598,94.42953138815209
-21.9,106.7,105.75127118644068,101.60626262626262,97.29293286219081,94.53189316575019
-21.8,106.7,105.63565656565656,101.7,97.40848056537104,94.68900235663787
-21.7,106.7,105.53458038422649,101.7,97.5,94.78222811671087
-21.6,106.6050505050505,105.5,101.70929292929293,97.55212121212121,94.86276512175962
-21.5,106.50404040404041,105.43252525252525,101.81030303030303,97.67439886845827,94.98263943440692
-21.4,106.5,105.4,101.9,97.7,95.12236958443854
-21.3,106.40191919191919,105.4,101.9,97.8,95.2191673212883
-21.2,106.30090909090909,105.4,101.9419191919192,97.8,95.37627651217596
-21.1,106.2,105.35997171145686,102.04292929292929,97.85005889281508,95.47506631299734
-21,106.19888888888889,105.3,102.1,97.9,95.61280439905734
-20.9,106.1,105.3,102.15247641509434,97.9,95.7449494949495
-20.8,106.09634864546524,105.3,102.2703180212014,97.9459595959596,95.8459595959596
-20.7,106,105.3,102.37555555555556,98.0469696969697,95.9
-20.6,105.98060606060606,105.3,102.48938679245283,98.1,95.97656565656565
-20.5,105.9,105.3,102.62040404040404,98.1489898989899,96.15515151515152
-20.4,105.9,105.3,102.72141414141414,98.2,96.27858585858586
-20.3,105.9,105.3,102.82244691607684,98.28938053097345,96.4393457117595
-20.2,105.9,105.3,102.9,98.3,96.57738515901059
-20.1,105.9,105.31191037735849,102.93878787878788,98.42454545454545,96.6
-20,105.9,105.4,103,98.52979976442873,96.8
-19.9,105.9,105.45714285714286,103.04764150943396,98.65714285714286,96.81222222222222
-19.8,105.9,105.5,103.1,98.7,96.91323232323232
-19.7,105.9,105.5,103.1,98.8,97.01662735849057
-19.6,105.9010101010101,105.63451118963486,103.1,98.86138613861387,97.13451118963486
-19.5,106.0020202020202,105.75235849056604,103.05714285714285,98.98573113207547,97.2
-19.4,106.1,105.87020023557126,103,99.08878787878787,97.27444444444444
-19.3,106.10353669319186,105.9,103,99.2,97.37545454545455
-19.2,106.19195402298851,105.97646464646465,102.90919191919193,99.23926886792452,97.4
-19.1,106.29181818181819,106,102.9,99.36850282485877,97.46781609195402
-19,106.4,106,102.9,99.49162735849056,97.58995756718528
-18.9,106.40808080808081,105.90616161616163,102.9,99.6,97.68213969938108
-18.8,106.5,105.9,102.9,99.6,97.7
-18.7,106.48820754716981,105.9,102.9,99.69585858585859,97.76727272727273
-18.6,106.4,105.80313131313132,102.92545454545456,99.79686868686868,97.8
-18.5,106.4,105.7,103.02646464646465,99.9,97.8606542882405
-18.4,106.38457008244994,105.68842756183746,103.1,99.95841584158416,97.94902826855125
-18.3,106.3,105.60008833922261,103.1,100,98.03740053050397
-18.2,106.23870056497175,105.57864214992928,103.13833922261483,100.10106132075471,98.1229379418696
-18.1,106.19775943396226,105.5,103.2,100.2,98.2
-18,106.1,105.42983490566039,103.23679245283019,100.24413012729845,98.20341981132076
-17.9,106.01442715700142,105.4,103.3,100.3,98.31828282828283
-17.8,105.89504550050556,105.4,103.4,100.32249705535925,98.4
-17.7,105.8,105.4,103.4060606060606,100.4,98.4
-17.6,105.8,105.45818610129564,103.5,100.4,98.42131313131314
-17.5,105.78045977011494,105.5,103.53660262891809,100.44456233421751,98.52606132075472
-17.4,105.7,105.5,103.6,100.5,98.64393404004711
-17.3,105.71010101010101,105.55292929292929,103.69505300353357,100.5,98.7529292929293
-17.2,105.8,105.6,103.71555869872702,100.55393939393939,98.8472148541114
-17.1,105.8,105.6,103.8,100.6,98.93165750196387
-17,105.82737373737373,105.64898320070733,103.8,100.6,99
-16.9,105.9,105.7,103.8,100.6998585572843,99.01648998822144
-16.8,105.9,105.7,103.86124469589816,100.7,99.13431603773584
-16.7,105.9,105.7,103.9,100.78260254596889,99.2
-16.6,105.98669022379269,105.77004716981132,103.9,100.8,99.24005305039788
-16.5,106.0055162659123,105.8,103.9,100.84676767676768,99.32844522968198
-16.4,106.1,105.82687411598303,103.9,100.96690240452617,99.41679929266137
-16.3,106.1,105.9,103.9,101,99.50521201413427
-16.2,106.1,105.9,103.9,101,99.59355123674911
-16.1,106.1,105.93111739745403,103.9,101.07114568599717,99.67287735849057
-16,106.1,105.93950471698113,103.9,101.1,99.75786219081272
-15.9,106.1,105.9,103.9,101.1,99.8
-15.8,106.1,105.9,103.9,101.18242424242425,99.83959595959595
-15.7,106.1,105.9,103.9,101.2,99.9
-15.6,106.1,105.9,103.9,101.28444444444445,99.93236449332286
-15.5,106.1,105.9,103.9,101.37480106100796,100.01229000884173
-15.4,106.1,105.8,103.9,101.47222222222223,100.10080808080808
-15.3,106.09818181818181,105.79818181818182,103.9,101.5,100.2
-15.2,106,105.7,103.9,101.57424242424243,100.21328616352201
-15.1,106,105.7,103.9,101.6,100.29190251572327
-15,106,105.7,103.9,101.67626262626263,100.3
-14.9,105.99414141414141,105.65176803394625,103.9,101.7,100.37727272727273
-14.8,105.9,105.6,103.9,101.7810070671378,100.49139150943397
-14.7,105.89212121212121,105.6,103.9,101.8,100.50919811320755
-14.6,105.8,105.56746817538897,103.9,101.8,100.6
-14.5,105.8,105.5,103.9,101.89565656565657,100.63394625176804
-14.4,105.7890909090909,105.5,104,101.9,100.7
-14.3,105.7,105.5,104,101.9,100.7604774535809
-14.2,105.6761273209549,105.5,104.03180212014134,101.99868686868687,100.8
