Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 45,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:40x20 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:40x20 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:40x20 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:40x20 cm2
-10.7,,,20.7,23.320000000000018,,,54.01999999999992,56.4226,,,124.52499999999996,122.75000000000004,,7,130.35933333333332,127.78333333333333,,10.1,124,121.5
-10.6,,,25.2,28.040000000000017,,,70.57500000000006,71.08839999999995,,,131.85000000000002,129.74,,7.1,130.476,127.8,,10.2,124,121.5
-10.5,,,33.95,36.2,,,87,88.3353,,,136.1,133.60000000000002,,7.3,130.586,127.9,,10.45,123.97500000000001,121.5
-10.4,,,47.699999999999946,48.59999999999992,,,104.67999999999992,104.542,,4.4,138.41666666666666,136,,7.44,130.626,128,,10.6,123.9,121.5
-10.3,,,64.06666666666676,65.61999999999996,,,119.88000000000004,118.69749999999996,,4.5,139.96,137.34,,7.575000000000001,130.626,128,,10.775000000000002,123.9,121.5
-10.2,,,82.37499999999993,83.09999999999994,,3.40085,131.62000000000003,130.00175000000004,,4.6,140.5,137.9,,7.7,130.626,128,,10.9,123.9,121.5
-10.1,,,101.21999999999996,100.77500000000008,,3.40085,139.5,137.78024999999997,,4.6,140.85000000000002,138.34,,7.866666666666668,130.526,128,,11.2,123.77142857142857,121.41666666666667
-10,,3,118.26000000000008,117.18000000000009,,3.50088,144.22000000000003,141.7065,,4.7,140.98,138.5,,8.02,130.44266666666667,128,,11.4,123.7,121.375
-9.9,,3.1,133.1,131.91999999999996,,3.50088,146.5,144.258,,4.8,141.1,138.5,,8.1,130.346,128,,11.575000000000001,123.65,121.3
-9.8,,3.1,144.1,141.79999999999995,,3.6009,147.62,145.15800000000002,,4.9,141,138.5,,8.3,130.25933333333333,127.85,,11.8,123.58333333333333,121.25
-9.7,,3.1,149.95,147.3,,3.6009,148.1,145.63299999999998,,5,141,138.44,,8.45,130.14600000000002,127.8,,11.95,123.47500000000001,121.1
-9.6,,3.2,152.25,149.66,,3.70093,148.3,145.758,,5.1,140.84,138.24,,8.566666666666668,130.026,127.61999999999999,,12.149999999999999,123.35,121.06
-9.5,,3.2,153.425,150.56666666666666,,3.70093,148.3,145.758,,5.2,140.57999999999998,138.125,,8.8,129.91171428571428,127.44,,12.5,123.3,120.97500000000001
-9.4,,3.3,153.64,150.9,,3.80095,148.2,145.658,,5.3,140.35000000000002,137.91666666666666,,8.95,129.746,127.25,,12.7,123.2,120.88000000000001
-9.3,,3.3,153.7,150.9,,3.90098,147.875,145.52466666666666,,5.4,140.1,137.67499999999998,,9.1,129.486,127.06,,12.95,123.1,120.75
-9.2,,3.4,153.6,150.76,,3.95099,147.66,145.298,,5.6,139.88,137.46666666666667,,9.280000000000001,129.326,126.96000000000001,,13.224999999999998,123,120.7
-9.1,,3.4,153.34,150.53333333333333,,4.001,147.25,144.898,,5.7,139.63333333333333,137.16666666666666,,9.524999999999999,129.201,126.8,,13.450000000000003,122.8,120.6
-9,,3.5,152.7,150.05,,4.10103,146.86666666666667,144.63299999999998,,5.8,139.3,136.87142857142857,,9.775000000000002,129.07600000000002,126.7,,13.749999999999998,122.53333333333333,120.425
-8.9,,3.5,152.23999999999998,149.48,,4.134369999999999,146.5,144.208,,5.9,139,136.56666666666666,,10,128.85933333333332,126.6,,14,122.35,120.3
-8.8,,3.566666666666668,151.5,148.77499999999998,,4.20105,146,143.858,,6.1,138.57999999999998,136.28,,10.175,128.54600000000002,126.43333333333334,,14.26666666666667,122.2,120.275
-8.7,,3.7,150.85,148.3,,4.30108,145.5,143.18200000000002,,6.2,138.28,136.06,,10.475000000000001,128.40099999999998,126.2,,14.45,122.1,120.1
-8.6,,3.7,150.15,147.5,,4.467786666666668,145,142.737,,6.4,137.95000000000002,135.625,,10.666666666666668,128.07600000000002,125.94285714285715,,14.933333333333332,121.96666666666667,119.9
-8.5,,3.8,149.52,146.975,,4.60115,144.45,142.177,,6.575000000000001,137.45,135.25,,11,127.84599999999999,125.7,,15.2,121.86,119.7
-8.4,,3.9,148.875,146.475,,4.60115,143.68,141.737,,6.7,137,134.94,,11.2,127.526,125.47500000000001,,15.55,121.68333333333334,119.54285714285714
-8.3,,3.9,148.1,145.6,,4.70118,143.32000000000002,141.206,,6.833333333333332,136.7,134.48333333333335,,11.433333333333332,127.19166666666666,125.34,,15.8,121.4,119.38333333333334
-8.2,,4.033333333333331,147.425,144.95,,4.8012,142.75,140.68933333333334,,7,136.15,134.23333333333332,,11.7,127.075,124.94,,16.1,121.2,119.21666666666667
-8.1,,4.1,146.67499999999998,144.4,,4.90123,142.17499999999998,140.106,,7.2,135.7,133.76,,11.95,126.77499999999999,124.76,,16.525,120.95,119.125
-8,,4.2,146,143.57999999999998,,5.034593333333332,141.56666666666666,139.556,,7.4,135.3,133.35,,12.375000000000002,126.485,124.46000000000001,,16.833333333333332,120.73333333333333,119
-7.9,,4.266666666666668,145.2,142.9,,5.2013,140.92000000000002,139.05599999999998,,7.624999999999999,134.8,132.9,,12.633333333333331,126.225,124.27142857142857,,17.15,120.46000000000001,118.7
-7.8,,4.3,144.625,142.3,,5.40135,140.27999999999997,138.42999999999998,,7.875000000000001,134.44,132.6,,12.9,125.845,124.03333333333333,,17.7,120.19999999999999,118.45
-7.7,,4.4,143.9,141.7,,5.50138,139.78,137.91500000000002,,8.033333333333331,133.96,132.2,,13.3,125.65833333333333,123.80000000000001,,18.166666666666664,120,118.22
-7.6,,4.524999999999999,143.10000000000002,140.85999999999999,,5.6014,139.3,137.455,,8.3,133.53333333333333,131.82,,13.633333333333331,125.375,123.5,4,18.666666666666668,119.73333333333333,118
-7.5,,4.6,142.4,140.1,,5.80145,138.54999999999998,136.62166666666667,,8.5,133.04,131.24,,13.933333333333332,124.96499999999999,123.175,3.9,19.200000000000003,119.63333333333333,117.95
-7.4,,4.75,141.66,139.72500000000002,,6.0015,138,136.1744,,8.76666666666667,132.62,130.84,2.6,14.350000000000001,124.625,122.93333333333334,3.7,19.949999999999996,119.46000000000001,117.9
-7.3,,4.933333333333332,140.92000000000002,138.975,,6.151540000000001,137.36,135.504,,9.1,132.14,130.425,2.7,14.850000000000001,124.325,122.7,3.8,20.8,119.18,117.73333333333333
-7.2,,5,140.2,138.22500000000002,,6.35159,136.75,134.914,,9.375000000000002,131.73333333333335,130,2.7,15.2,123.925,122.5,3.8333333333333317,21.95,118.96666666666667,117.5
