Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=120cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
23,32.075,37.1,40.86666666666667,42.5,42.925
23.1,31.9,36.8,40.650000000000006,42.349999999999994,42.7
23.2,31.750000000000004,36.7,40.5,42.2,42.5
23.3,31.5,36.5,40.349999999999994,42.05,42.3
23.4,31.325,36.225,40.1,41.74,42.125
23.5,31.2,36.075,40,41.56,42
23.6,31.025,35.9,39.8,41.4,41.75
23.7,30.862499999999997,35.6,39.56,41.275,41.6
23.8,30.6875,35.44,39.4,41.1,41.475
23.9,30.5625,35.3,39.160000000000004,40.9,41.225
24,30.38,35.150000000000006,39.025,40.75,41.075
24.1,30.25,35.05,38.875,40.5,40.9
24.2,30.1,34.919999999999995,38.7,40.3,40.8
24.3,29.9,34.7,38.6,40.125,40.55
24.4,29.7,34.425,38.4,39.975,40.4
24.5,29.6,34.3,38.175000000000004,39.824999999999996,40.16666666666667
24.6,29.5,34.175000000000004,38,39.71666666666667,40.05
24.7,29.3,34,37.775,39.53333333333333,39.925
24.8,29.1,33.81666666666666,37.6,39.3,39.7
24.9,28.9,33.61666666666667,37.5,39.2,39.5
25,28.8,33.46,37.3,39,39.3125
25.1,28.6,33.322222222222216,37.1,38.775,39.175000000000004
25.2,28.5,33.1,36.95,38.64,39.025
25.3,28.4,32.925,36.8,38.480000000000004,38.7875
25.4,28.2,32.8,36.650000000000006,38.349999999999994,38.625
25.5,28,32.650000000000006,36.5,38.2,38.4875
25.6,27.9,32.5,36.275,37.95,38.339999999999996
25.7,27.775,32.349999999999994,36.12500000000001,37.74285714285715,38.2
25.8,27.6,32.2,35.94,37.650000000000006,38
25.9,27.387499999999996,32,35.8,37.45,37.8
26,27.2625,31.9,35.650000000000006,37.324999999999996,37.650000000000006
26.1,27.137500000000003,31.7,35.45,37.1,37.52
26.2,27.022222222222222,31.6,35.325,36.92,37.3
26.3,26.885714285714283,31.35,35.175,36.8,37.22500000000001
26.4,26.775,31.2,34.925000000000004,36.6,37.074999999999996
26.5,26.639999999999997,31.074999999999996,34.8,36.43333333333334,36.825
26.6,26.4,30.925000000000004,34.62500000000001,36.3,36.675
26.7,26.3,30.8,34.4875,36.2,36.5
26.8,26.2,30.7,34.324999999999996,36.03333333333334,36.4
26.9,26.05,30.55,34.1375,35.9,36.25
27,25.8,30.3,34,35.75,36.1
27.1,25.7,30.2,33.94444444444444,35.6,35.95
27.2,25.6,29.975,33.728571428571435,35.4,35.83333333333333
