Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=1.5cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-4.3,0.8,1.3,3.1333333333333333,22.7,98.64999999999999,101.9,102,101.8
-4.2,0.9,1.4,3.3,33,99.1,101.8,101.9,101.7
-4.1,0.9,1.4,3.5,44.800000000000004,99.45,101.7,101.82,101.6
-4,0.9,1.5,3.8,57.86666666666667,99.7,101.6,101.75,101.5
-3.9,0.9,1.6,4.2,69.5,99.7,101.55,101.65,101.4
-3.8,1,1.6666666666666667,4.7,80.47500000000001,99.9,101.5,101.56,101.31666666666666
-3.7,1,1.7,5.6,88.5,100,101.475,101.46666666666667,101.3
-3.6,1.1,1.8,6.9,93.2,100.1,101.4,101.4,101.2
-3.5,1.1,1.9,8.9,95.7,100.2,101.36666666666667,101.3,101.1
-3.4,1.2,2,12.9,97.3,100.2,101.3,101.3,101.1
-3.3,1.2,2.1,20,98.15,100.3,101.22500000000001,101.22,101.1
-3.2,1.3,2.25,29.6,98.69999999999999,100.3,101.2,101.2,101.1
-3.1,1.3,2.4,42.10000000000001,99.02,100.36666666666667,101.2,101.2,101
-3,1.4,2.7,54.7,99.3,100.4,101.2,101.1,101
-2.9,1.5,3.05,67,99.475,100.4,101.1,101.1,101
-2.8,1.6,3.5,78,99.7,100.5,101.1,101.1,101
-2.7,1.75,4.2,86.75,99.9,100.6,101.1,101.1,100.93333333333334
-2.6,1.85,5.35,92.63333333333333,100,100.6,101.1,101.1,100.9
-2.5,2.05,7.366666666666664,95.9,100.1,100.65,101.1,101.1,100.9
-2.4,2.3499999999999996,11,97.4,100.2,100.7,101.1,101,100.9
-2.3,2.7666666666666675,17.5,98.3,100.3,100.7,101,101,100.8
-2.2,3.4000000000000012,27.05,98.8,100.34,100.7,101,101,100.8
-2.1,4.6,38.9,99.3,100.4,100.7,100.9,101,100.8
-2,6.3,52.000000000000014,99.6,100.4,100.7,100.9,100.9,100.7
-1.9,9.9,64.70000000000002,99.7,100.5,100.7,100.9,100.85,100.7
-1.8,16,76.3,99.9,100.48,100.7,100.8,100.8,100.63333333333333
-1.7,25.6,86.4,100,100.4,100.7,100.8,100.7,100.6
